# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('59.26', 1)
('59.25', 1)
('59.24', 1)
('59.20', 11)
('-3390583.80', 1)
('59.29', 3)
('59.28', 1)
('136.13', 1)
('80.40', 1)
('1587540.00', 1)
('44.50', 44)
('44.51', 4)
('44.52', 6)
('44.53', 5)
('44.54', 3)
('44.55', 4)
('44.56', 3)
('44.57', 5)
('44.58', 9)
('44.59', 6)
('140.39', 1)
('17.38', 5104)
('17.39', 5224)
('17.32', 5073)
('17.33', 5199)
('17.30', 45548)
('17.31', 5009)
('17.36', 5149)
('17.37', 5241)
('17.34', 5150)
('17.35', 5131)
('56005.00', 1)
('167.60', 1)
('69.28', 1)
('69.29', 1)
('69.20', 3)
('69.23', 1)
('806.30', 1)
('111.80', 1)
('107.43', 1)
('107.40', 2)
('31.89', 35)
('31.88', 30)
('65.72', 2)
('65.71', 2)
('65.70', 2)
('31.83', 39)
('31.82', 28)
('31.81', 27)
('31.80', 268)
('31.87', 35)
('31.86', 32)
('31.85', 24)
('31.84', 33)
('28.98', 82)
('28.99', 94)
('68.27', 1)
('68.24', 1)
('28.92', 92)
('28.93', 87)
('28.90', 832)
('28.91', 91)
('28.96', 105)
('28.97', 95)
('28.94', 100)
('28.95', 100)
('128.70', 1)
('128.71', 1)
('13.38', 2463)
('13.39', 2450)
('13.36', 2497)
('13.37', 2453)
('13.34', 2551)
('13.35', 2513)
('13.32', 2504)
('13.33', 2482)
('13.30', 22297)
('13.31', 2520)
('18.11', 4975)
('18.10', 42126)
('18.13', 4958)
('18.12', 4946)
('18.15', 4844)
('18.14', 4941)
('18.17', 4863)
('18.16', 4872)
('18.19', 4790)
('18.18', 4854)
('5.12', 26644)
('5.13', 26759)
('5.10', 243079)
('5.11', 26980)
('5.16', 26445)
('5.17', 26323)
('5.14', 26906)
('5.15', 26590)
('5.18', 26305)
('5.19', 25910)
('50.51', 1)
('50.50', 31)
('50.53', 2)
('50.52', 9)
('50.55', 3)
('124.00', 1)
('50.57', 4)
('50.56', 2)
('50.59', 2)
('50.58', 2)
('100.00', 5)
('124.08', 1)
('390.07', 1)
('52.59', 1)
('52.58', 2)
('52.56', 1)
('52.55', 1)
('52.54', 2)
('52.53', 1)
('52.52', 2)
('52.51', 3)
('52.50', 11)
('89.08', 1)
('119.63', 1)
('119.65', 1)
('21.33', 1201)
('21.32', 1189)
('21.31', 1184)
('21.30', 10140)
('21.37', 1224)
('21.36', 1178)
('21.35', 1112)
('21.34', 1180)
('21.39', 1136)
('21.38', 1162)
('43.68', 6)
('43.69', 4)
('43.60', 38)
('43.61', 4)
('43.62', 5)
('43.63', 7)
('98.60', 1)
('43.65', 6)
('43.66', 7)
('43.67', 5)
('178.70', 1)
('146.95', 1)
('485.90', 1)
('249.94', 1)
('14.49', 1872)
('14.42', 1888)
('14.43', 1937)
('14.40', 17514)
('14.41', 1856)
('14.46', 1946)
('14.47', 2037)
('14.44', 1835)
('14.45', 1920)
('159.35', 1)
('159.32', 1)
('72.20', 6)
('64.31', 1)
('72.22', 2)
('40.85', 9)
('19.16', 2791)
('19.17', 2766)
('19.14', 2903)
('19.15', 2851)
('19.12', 2910)
('19.13', 2887)
('19.10', 24442)
('19.11', 2935)
('300.40', 1)
('19.18', 2710)
('19.19', 2739)
('71.41', 1)
('61.90', 9)
('61.92', 1)
('61.95', 1)
('61.98', 2)
('500.10', 4)
('225.60', 1)
('16.84', 4105)
('9.08', 10207)
('116.80', 2)
('2.79', 96297)
('2.78', 97544)
('71.16', 1)
('2.71', 101530)
('2.70', 926672)
('2.73', 100467)
('2.72', 101242)
('2.75', 98651)
('2.74', 99226)
('2.77', 97524)
('2.76', 98128)
('58.31', 1)
('9.05', 10267)
('16.89', 4262)
('150.00', 2)
('63.98', 2)
('85.25', 1)
('85.20', 2)
('63.90', 9)
('83.60', 1)
('83.61', 1)
('168.90', 1)
('503.40', 1)
('231.70', 1)
('19.00', 26113)
('4.06', 43187)
('4.07', 43486)
('4.04', 44114)
('4.05', 44025)
('4.02', 44228)
('4.03', 43805)
('4.00', 403944)
('4.01', 44691)
('165.40', 1)
('4.08', 42973)
('4.09', 42595)
